id_local,nombre,categoria,direccion,barrio,comuna
1602,GUANTANAMERA,RESTAURANTE,"MOREAU DE JUSTO, ALICIA AV. 2092",Puerto Madero,Comuna 1
676,1843 VINACOTECA,VINERIA,HUMBERTO 1º 1843,San Cristobal,Comuna 3
487,2080 EXPRESS,RESTAURANTE,JURAMENTO AV. 2080,Belgrano,Comuna 13
2737,22,CAFE,MURGUIONDO 4188,Villa Lugano,Comuna 8
2,4 EN 2 I,RESTAURANTE,"BORGES, JORGE LUIS 2095",Palermo,Comuna 14
3,4 X 4 CAFE,BAR,DEL LIBERTADOR AV. 3838,Palermo,Comuna 14
2091,5TA AVENIDA,RESTAURANTE,SARMIENTO 814,San Nicolas,Comuna 1
2093,5TA AVENIDA I,RESTAURANTE,SARMIENTO 381,San Nicolas,Comuna 1
2655,5TA ZONA,,MURILLO 1049,Villa Crespo,Comuna 15
2092,650,RESTAURANTE,SAN MARTIN 650,San Nicolas,Comuna 1
1636,788 FOODBAR,RESTAURANTE,ARENALES 1877,Recoleta,Comuna 2
5,7 SEVEN,RESTAURANTE,GORRITI 5802,Palermo,Comuna 14
6,8 MILIMETROS,RESTAURANTE,GORRITI 5535,Palermo,Comuna 14
2094,9 DE JULIO,RESTAURANTE,"PELLEGRINI, CARLOS 593",San Nicolas,Comuna 1
2740,9 DE JULIO II,CAFE,RIESTRA AV. 5498,Villa Lugano,Comuna 8
2095,ABC,RESTAURANTE,LAVALLE 545,San Nicolas,Comuna 1
1950,ABRIL,RESTAURANTE,ARENALES 900,Retiro,Comuna 1
2549,ABRIL BRISTO,RESTAURANTE,BALCARCE 722,San Telmo,Comuna 1
1122,ABUELO MATIAS,RESTAURANTE,SAN PEDRITO 1094,Flores,Comuna 7
7,ACABAR,BAR,HONDURAS 5733,Palermo,Comuna 14
2096,ACAPULCO,RESTAURANTE,LAVALLE 757,San Nicolas,Comuna 1
1336,ACAPULCO,CAFE,MORENO 1800,Monserrat,Comuna 1
2823,ACCADEMIA della pizza,RESTAURANTE,TRIUNVIRATO AV. 4495,Villa Urquiza,Comuna 12
678,A CORUÃƒâ€˜A,VINERIA,MISIONES 125,Balvanera,Comuna 3
1638,ACQUANOVA,,"DIAZ, CNEL. AV. 1879",Recoleta,Comuna 2
1639,ACROPOLIS,CAFE,CORDOBA AV. 3493,Recoleta,Comuna 2
1124,ACUARIO,RESTAURANTE,VARELA AV. 920,Flores,Comuna 7
489,ADANN,RESTAURANTE,"HERNANDEZ, JOSE 2345",Belgrano,Comuna 13
1641,AFICHE,CAFE,"ALVEAR, MARCELO T. De 2119",Recoleta,Comuna 2
2648,A FUEGO LENTO,RESTAURANTE,SANTO TOME 5915,Versalles,Comuna 10
1222,AGARRATE CATALINA,RESTAURANTE,CABOTO 537,Boca,Comuna 4
1951,AGRAZ,RESTAURANTE,POSADAS 1232,Retiro,Comuna 1
1591,AIRES DE PATAGONIA,RESTAURANTE,"MOREAU DE JUSTO, ALICIA AV. 1798",Puerto Madero,Comuna 1
2547,A. J. JARDIN CERVERCERO,RESTAURANTE,CHILE AV. 342,San Telmo,Comuna 1
677,ALA...,RESTAURANTE,BELGRANO AV. 1836,Balvanera,Comuna 3
679,ALABAMA,RESTAURANTE,RIVADAVIA AV. 3102,Balvanera,Comuna 3
13,ALABAMA,RESTAURANTE,SANTA FE AV. 5270,Palermo,Comuna 14
1337,ALAI,CAFE,"ALSINA, ADOLFO 1702",Monserrat,Comuna 1
1637,A LA MAROSKA,RESTAURANTE,"ALVEAR, MARCELO T. De 2251",Recoleta,Comuna 2
1339,ALAMEDA,RESTAURANTE,DE MAYO AV. 1203,Monserrat,Comuna 1
1642,ALAMEDA,RESTAURANTE,LAS HERAS GENERAL AV. 2324,Recoleta,Comuna 2
8,AL ANDALUZ,BAR,GODOY CRUZ 1823,Palermo,Comuna 14
2548,ALARICO,RESTAURANTE,CHILE 518,San Telmo,Comuna 1
1093,AL BAR,BAR,SAN JUAN AV. 915,Constitucion,Comuna 1
680,ALBERNIZ,CAFE,RIVADAVIA AV. 2886,Balvanera,Comuna 3
1094,ALBOR,BAR,"CALVO, CARLOS 819",Constitucion,Comuna 1
1640,AL CLUB,RESTAURANTE,PARAGUAY 2044,Recoleta,Comuna 2
611,ALDEA DE ALBARICOQUE,RESTAURANTE,LAMBARE 847,Almagro,Comuna 5
1952,ALEA,CAFE,TALCAHUANO 888,Retiro,Comuna 1
2657,ALE- ALE,,ESTADO DE ISRAEL AV. 4503,Villa Crespo,Comuna 15
1955,ALEKS,CAFE,CORDOBA AV. 1541,Recoleta,Comuna 2
2097,ALEXANDER,RESTAURANTE,TUCUMAN 304,San Nicolas,Comuna 1
12,ALFONSO 1RO,RESTAURANTE,PARAGUAY 3948,Palermo,Comuna 14
1643,ALFRED,RESTAURANTE,PUEYRREDON AV. 1335,Recoleta,Comuna 2
10,AL FRESCO,RESTAURANTE,HONDURAS 5201,Palermo,Comuna 14
2098,ALGO NATURAL,RESTAURANTE,VIAMONTE 351,San Nicolas,Comuna 1
2630,ALHAMBRA,RESTAURANTE,RIVADAVIA AV. 8628,Velez Sarsfield,Comuna 10
14,ALHARACA,RESTAURANTE,GORRITI 5045,Palermo,Comuna 14
2100,ALIMENTAR,RESTAURANTE,SAN MARTIN 570,San Nicolas,Comuna 1
2099,ALIMENTARI,RESTAURANTE,LAVALLE 1120,San Nicolas,Comuna 1
2101,ALIMENTOS,RESTAURANTE,SARMIENTO 372,San Nicolas,Comuna 1
1285,ALL VERDI,RESTAURANTE,OLIDEN 1493,Mataderos,Comuna 9
1645,ALMACEN NATURISTA,RESTAURANTE,"MANSILLA, LUCIO NORBERTO, GENERAL 2740",Recoleta,Comuna 2
15,ALMONTE,RESTAURANTE,BONPLAND 1939,Palermo,Comuna 14
956,ALO - ALO,RESTAURANTE,RIVADAVIA AV. 4945,Caballito,Comuna 6
1123,ALPINA SKATE,PUB,RIVADAVIA AV. 6431,Flores,Comuna 7
9,AL SHARK,RESTAURANTE,"SCALABRINI ORTIZ, RAUL AV. 1426",Palermo,Comuna 14
1338,ALSINA 300,RESTAURANTE,"ALSINA, ADOLFO 300",Monserrat,Comuna 1
11,AL TAGLIO PIZZORANTE,RESTAURANTE,ARAOZ 2476,Palermo,Comuna 14
958,ALTO GOYENO,RESTAURANTE,"GOYENA, PEDRO AV. 599",Caballito,Comuna 6
1522,ALVEAR PARK,RESTAURANTE,"ALBERDI, JUAN BAUTISTA AV. 4302",Parque Avellaneda,Comuna 9
1125,AMADEUS,PUB,RIVADAVIA AV. 7472,Flores,Comuna 7
682,AMAKAI,CAFE,INDEPENDENCIA AV. 3001,Balvanera,Comuna 3
2749,AMARETTO,RESTAURANTE,CHORROARIN AV. 1206,Villa Ortuzar,Comuna 15
2696,AMBAR BUENOS AIRES,PUB,"BEIRO, FRANCISCO AV. 3124",Villa Del Parque,Comuna 11
957,AMERICA,RESTAURANTE,HIDALGO 899,Caballito,Comuna 6
1340,AMERICA DELI,CAFE,PERU 85,Monserrat,Comuna 1
1342,AMERICANO,BAR,BELGRANO AV. 1421,Monserrat,Comuna 1
1341,AMICO,CAFE,CHILE 1110,Monserrat,Comuna 1
2102,AMIGOS,BAR,"PERON, JUAN DOMINGO, TTE. GENERAL 1417",San Nicolas,Comuna 1
1644,AMIGOS PROPIETARIOS,RESTAURANTE,AYACUCHO 2183,Recoleta,Comuna 2
1095,AMIKO,RESTAURANTE,LIMA 700,Monserrat,Comuna 1
2104,ANAHI,BAR,"ALEM, LEANDRO N. AV. 481",San Nicolas,Comuna 1
1343,AÃƒâ€˜ARO CERO,CAFE,"ALSINA, ADOLFO 1494",Monserrat,Comuna 1
1646,ANCHORENA PLAZA,RESTAURANTE,SANTA FE AV. 2702,Recoleta,Comuna 2
17,ANDEN,RESTAURANTE,SANTA FE AV. 5302,Palermo,Comuna 14
16,ANGECINA,RESTAURANTE,REPUBLICA DOMINICANA 3386,Palermo,Comuna 14
18,ANGELIN,RESTAURANTE,CORDOBA AV. 5770,Chacarita,Comuna 15
19,ANGELINA,RESTAURANTE,CHARCAS 3386,Palermo,Comuna 14
1647,ANGELO'S,CAFE,SANTA FE AV. 2779,Recoleta,Comuna 2
1496,ANGELUS,RESTAURANTE,DEL LIBERTADOR AV. 7598,NuÃƒÂ±ez,Comuna 13
1126,ANGLO,CAFE,RIVADAVIA AV. 7510,Flores,Comuna 7
2103,ANGOSTURA,RESTAURANTE,LAVALLE 400,San Nicolas,Comuna 1
1129,ANIMATE,CAFE,RIVADAVIA AV. 7390,Flores,Comuna 7
562,ANITA,RESTAURANTE,"NEWBERY, JORGE AV. 3902",Chacarita,Comuna 15
2105,ANKER,RESTAURANTE,VIAMONTE 1602,San Nicolas,Comuna 1
20,ANTAÃƒâ€˜O BAR,BAR,VUELTA DE OBLIGADO 1101,Palermo,Comuna 14
21,ANTE SALA,BAR,COSTA RICA 4969,Palermo,Comuna 14
22,ANUSH,BAR,ARMENIA 1242,Palermo,Comuna 14
2106,APETECE,RESTAURANTE,"PELLEGRINI, CARLOS 169",San Nicolas,Comuna 1
681,APLAUSOS,RESTAURANTE,BELGRANO AV. 3251,Balvanera,Comuna 3
2108,ARABIAN FOOD,RESTAURANTE,LAVALLE 796,San Nicolas,Comuna 1
683,ARACA BUENOS AIRES,RESTAURANTE,AYACUCHO 408,Balvanera,Comuna 3
2107,ARCANGEL,RESTAURANTE,VIAMONTE 702,San Nicolas,Comuna 1
1953,ARENALES 999,BAR,ARENALES 999,Retiro,Comuna 1
23,AREVALO AL FONDO,RESTAURANTE,AREVALO 3056,Palermo,Comuna 14
2690,ARGOT CAFE,PUB,ALVAREZ JONTE AV. 2744,Villa Santa Rita,Comuna 11
24,ARGUIBEL,RESTAURANTE,"ARGUIBEL, ANDRES 2826",Palermo,Comuna 14
1266,ARI- CA,RESTAURANTE,COSQUIN 25,Liniers,Comuna 9
1268,ARI- CA II,RESTAURANTE,RIVADAVIA AV. 11156,Liniers,Comuna 9
25,ARMENIA RETAURANT,RESTAURANTE,ARMENIA 1366,Palermo,Comuna 14
959,ARMY CAFE,RESTAURANTE,RIVADAVIA AV. 5000,Caballito,Comuna 6
2109,AROMA,RESTAURANTE,FLORIDA 428,San Nicolas,Comuna 1
1956,AROMA AMBIENTAL,BAR,SANTA FE AV. 1260,Retiro,Comuna 1
1223,AROMA EXPRESS,RESTAURANTE,PI Y MARGALL 775,Boca,Comuna 4
613,AROMI,RESTAURANTE,CORRIENTES AV. 4690,Almagro,Comuna 5
1130,AROMI,BAR,RIVADAVIA AV. 6701,Flores,Comuna 7
960,ARRIGO,CAFE,LA PLATA AV. 479,Caballito,Comuna 6
896,ARSENO,RESTAURANTE,ISABEL LA CATOLICA 1094,Barracas,Comuna 4
2550,ARTE CAFE,RESTAURANTE,SAN JUAN AV. 480,San Telmo,Comuna 1
26,ARTE DE MAFIA,RESTAURANTE,EL SALVADOR 4975,Palermo,Comuna 14
1344,ARTESANIA DEL SABOR,RESTAURANTE,SALTA 622,Monserrat,Comuna 1
612,ARTON,RESTAURANTE,CORRIENTES AV. 4606,Almagro,Comuna 5
1345,ARTUR,RESTAURANTE,BELGRANO AV. 1119,Monserrat,Comuna 1
1593,ASIA DE CUBA,RESTAURANTE,"DEALESSI, PIERINA 750",Puerto Madero,Comuna 1
2551,ASI DE SIMPLE,CAFE,"GARAY, JUAN DE AV. 615",San Telmo,Comuna 1
2738,A SOLAS,CONFITERIA,"GALLO, DELFIN 5748",Villa Lugano,Comuna 8
2110,ASTOR PIAZZOLA,RESTAURANTE,FLORIDA 165,San Nicolas,Comuna 1
2111,ASTRAL,RESTAURANTE,RODRIGUEZ PEÃƒâ€˜A 687,San Nicolas,Comuna 1
614,ASTRO BAR,RESTAURANTE,MEDRANO AV. 950,Almagro,Comuna 5
2771,ASTURIAS,RESTAURANTE,DE LOS CONSTITUYENTES AV. 4598,Villa Pueyrredon,Comuna 12
488,A TEMPO,RESTAURANTE,ECHEVERRIA 2900,Belgrano,Comuna 13
687,ATENEA,RESTAURANTE,RIVADAVIA AV. 2300,Balvanera,Comuna 3
615,ATLANTICO,RESTAURANTE,GASCON 392,Almagro,Comuna 5
1648,AU BEC FIN,RESTAURANTE,"LOPEZ, VICENTE 1877",Recoleta,Comuna 2
1224,AUGUSTO,RESTAURANTE,"BROWN, ALTE. AV. 888",Boca,Comuna 4
1649,AVANTY,RESTAURANTE,AYACUCHO 117,Balvanera,Comuna 3
2114,AVE CAESAR,CAFE,FLORIDA 787,San Nicolas,Comuna 1
962,AVE FENIX,CAFE,"JUSTO, JUAN B. AV. 4242",Caballito,Comuna 6
2553,AVENIDAS,CAFE,PASEO COLON AV. 1197,San Telmo,Comuna 1
685,AVI BAR,CAFE,SARMIENTO 1819,Balvanera,Comuna 3
28,AZAFRAN,RESTAURANTE,HONDURAS 5143,Palermo,Comuna 14
1348,AZAPAR,RESTAURANTE,BELGRANO AV. 350,Monserrat,Comuna 1
27,AZUL ESPUMANTE,RESTAURANTE,GUATEMALA 4665,Palermo,Comuna 14
1954,AZUL PROFUNDO,RESTAURANTE,DEL LIBERTADOR AV. 310,Retiro,Comuna 1
1592,AZURRA,RESTAURANTE,MANSO JUANA 2,Puerto Madero,Comuna 1
29,AZURRO,RESTAURANTE,SANTA FE AV. 3596,Palermo,Comuna 14
31,BA,RESTAURANTE,"VEGA, NICETO, Cnel. AV. 5702",Palermo,Comuna 14
1650,BABETTE,RESTAURANTE,LAS HERAS GENERAL AV. 2972,Recoleta,Comuna 2
1651,BABIECA,RESTAURANTE,SANTA FE AV. 1898,Recoleta,Comuna 2
33,BABY BA,BAR,AREVALO 1466,Palermo,Comuna 14
2113,BACARO,RESTAURANTE,LAVALLE 1368,San Nicolas,Comuna 1
2119,BACHERO PIZZERIA CENTRO,RESTAURANTE,CORRIENTES AV. 1300,San Nicolas,Comuna 1
32,BACHET - BACHET,BAR,EL SALVADOR 4960,Palermo,Comuna 14
34,BACIO DA LUPO,RESTAURANTE,EL SALVADOR 5600,Palermo,Comuna 14
1957,BACO,RESTAURANTE,URUGUAY 855,Retiro,Comuna 1
2115,BAGDAD CAFE,RESTAURANTE,VIAMONTE 820,San Nicolas,Comuna 1
2741,BAHIA,CONFITERIA,"GALLO, DELFIN 5792",Villa Lugano,Comuna 8
1482,BAHIA,RESTAURANTE,SAENZ AV. 1455,Nueva Pompeya,Comuna 4
1594,BAHIA MADERO,RESTAURANTE,"MOREAU DE JUSTO, ALICIA AV. 430",Puerto Madero,Comuna 1
2116,BAJO ALEM,BAR,"ALEM, LEANDRO N. AV. 750",San Nicolas,Comuna 1
1497,BAJO BELGRANO,RESTAURANTE,CONGRESO 2011,NuÃƒÂ±ez,Comuna 13
35,BAKANO,RESTAURANTE,CERVIÃƒâ€˜O AV. 3496,Palermo,Comuna 14
576,BAKERY HOUSE,RESTAURANTE,CABILDO AV. 428,Colegiales,Comuna 13
688,BALBANERA,CAFE,"ALSINA, ADOLFO 3001",Balvanera,Comuna 3
2117,BALDOMERO,BAR,TUCUMAN 681,San Nicolas,Comuna 1
686,BALEARES,RESTAURANTE,VEDIA 2002,NuÃƒÂ±ez,Comuna 13
961,BAMBO,CAFE,RIVADAVIA AV. 5647,Caballito,Comuna 6
1653,BAMBU,RESTAURANTE,CORDOBA AV. 1415,Recoleta,Comuna 2
36,BANAURA BAR,RESTAURANTE,SOLER 4202,Palermo,Comuna 14
963,BANCHERO,CAFE,RIVADAVIA AV. 5401,Caballito,Comuna 6
1226,BANCHERO,RESTAURANTE,SUAREZ 396,Boca,Comuna 4
964,BANCHERO OESTE,RESTAURANTE,RIVADAVIA AV. 5401,Caballito,Comuna 6
689,BANDE,RESTAURANTE,"ALSINA, ADOLFO 3119",Balvanera,Comuna 3
37,BAR,BAR,HONDURAS 5699,Palermo,Comuna 14
690,BAR 2001,CAFE,LAVALLE 2001,Balvanera,Comuna 3
39,BAR 6,BAR,ARMENIA 1676,Palermo,Comuna 14
2057,BAR 9 DE JULIO,CAFE,"BALBIN, RICARDO, DR. AV. 4999",Saavedra,Comuna 12
38,BAR ABIERTO,BAR,"BORGES, JORGE LUIS 1613",Palermo,Comuna 14
2552,BAR ACONCAGUA,RESTAURANTE,ESTADOS UNIDOS 502,San Telmo,Comuna 1
617,BARAJAS,CAFE,RIVADAVIA AV. 3499,Almagro,Comuna 5
2698,BAR ALEMAN,PUB,SAN MARTIN AV. 5992,Villa Devoto,Comuna 11
692,BAR AMERICANO,CAFE,RIVADAVIA AV. 2598,Balvanera,Comuna 3
2118,BAR AMERICANO,RESTAURANTE,CORRIENTES AV. 427,San Nicolas,Comuna 1
2120,BAR AMERICANO LA BOLSA,RESTAURANTE,SARMIENTO 301,San Nicolas,Comuna 1
490,BAR ARTE,RESTAURANTE,DEL LIBERTADOR AV. 6445,Belgrano,Comuna 13
1346,BAR ASTURIANO,BAR,REPUBLICA BOLIVARIANA DE VENEZUELA 1699,Monserrat,Comuna 1
691,BAR ASTURIAS,CONFITERIA,PASTEUR 555,Balvanera,Comuna 3
1523,BAR AVENIDA,RESTAURANTE,"PERON, EVA AV. 4300",Parque Avellaneda,Comuna 9
